child_id,parent_id,link_type,degree,betweenness,closeness
ixv0hpf,z58rvt,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv0qds,iwx1fi2,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
ixv12cv,z5abgp,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
ixv17s1,z4yn8o,reply to a submission,6.75052316554533e-05,6.076078456836481e-09,3.0002325180201466e-05
ixv19p0,z4snn5,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv1lf3,z5be7t,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv1ouv,ixv08or,reply to a comment,2.25017438851511e-05,0.0,3.750290647525183e-05
ixv1xgt,ixuyvxj,reply to a comment,4.50034877703022e-05,1.063313729946384e-08,3.937805179901443e-05
ixv26ow,ixtw69u,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixv29nr,z56nlv,reply to a submission,9.00069755406044e-05,3.0380392284182405e-09,3.0002325180201466e-05
ixv2goc,iwtitdn,reply to a comment,2.25017438851511e-05,0.0,4.000310024026862e-05
ixv2iiz,ix1m3e4,reply to a comment,2.25017438851511e-05,0.0,3.750290647525183e-05
ixv2kjl,ixt77b3,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
ixv2nfn,ix3bc6w,reply to a comment,4.50034877703022e-05,6.076078456836481e-09,3.600279021624176e-05
ixv2pp2,z58rvt,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
ixv2t77,iwpm6ss,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixv2tu3,ixu906i,reply to a comment,4.50034877703022e-05,3.0380392284182405e-09,3.375261582772665e-05
ixv2ucn,z4snn5,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv3ld0,ixtf2ku,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixv3orp,ixbg5yo,reply to a comment,2.25017438851511e-05,0.0,3.857441808883045e-05
ixv3osa,z5brd1,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv3pbg,z56nlv,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv40gy,ixstu3c,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixv44f4,iwvyv5y,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
ixv459m,ixv1xgt,reply to a comment,4.50034877703022e-05,8.10143794244864e-09,4.000310024026862e-05
ixv47qe,ixtg6ie,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixv4d5z,iww0d2r,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixv4ih7,z5brd1,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv4jqp,ix2p80x,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
ixv4lph,ixi09g8,reply to a comment,2.25017438851511e-05,0.0,3.750290647525183e-05
ixv4o2r,z53zv4,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv4r93,ixcc2nz,reply to a comment,2.25017438851511e-05,0.0,3.750290647525183e-05
ixv4s4r,z5by2q,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv4vz2,ixu8331,reply to a comment,2.25017438851511e-05,0.0,3.937805179901443e-05
ixv50hd,z5bzfn,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv51c4,iwrmwx7,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixv59vn,iwul973,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
ixv5cr3,ixv459m,reply to a comment,4.50034877703022e-05,4.55705884262736e-09,4.050313899327198e-05
ixv5h1y,z5c283,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv5lr2,z5c31v,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv5tyd,z4snn5,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv5wnz,iwtno9l,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixv5xgk,ixtxv55,reply to a comment,2.25017438851511e-05,0.0,3.937805179901443e-05
ixv5y25,ixuv6qh,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixv5zj8,ixuss5p,reply to a comment,4.50034877703022e-05,4.05071897122432e-09,3.600279021624176e-05
ixv60c6,ixuuagq,reply to a comment,2.25017438851511e-05,0.0,4.154168101874049e-05
ixv658y,ixupvwl,reply to a comment,4.50034877703022e-05,1.4177516399285122e-08,3.937805179901443e-05
ixv65o5,ixuhnzm,reply to a comment,4.50034877703022e-05,6.076078456836481e-09,3.600279021624176e-05
ixv68ge,z57dva,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv6avg,ixv5zj8,reply to a comment,4.50034877703022e-05,2.5316993570152e-09,3.750290647525183e-05
ixv6d78,ixv2tu3,reply to a comment,4.50034877703022e-05,2.02535948561216e-09,3.600279021624176e-05
ixv6j9q,ixv17s1,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixv6jmp,ixuz6fq,reply to a comment,2.25017438851511e-05,0.0,4.000310024026862e-05
