node_id,degree,betweenness,closeness
gwtz6y9,2.2550456646747097e-05,0.0,3.006727552899613e-05
gwtzf0x,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gwtzmyx,2.2550456646747097e-05,0.0,3.3825684970120644e-05
gwu9o8a,2.2550456646747097e-05,0.0,3.006727552899613e-05
gwudgjt,4.5100913293494195e-05,1.5256036879902868e-09,3.3825684970120644e-05
gwuy9uf,2.2550456646747097e-05,0.0,3.006727552899613e-05
gwvem0e,2.2550456646747097e-05,0.0,3.006727552899613e-05
n4h4aa,2.2550456646747097e-05,0.0,0.0
gwvju1y,2.2550456646747097e-05,0.0,2.2550456646747097e-05
n4i37v,2.2550456646747097e-05,0.0,0.0
gwvox7s,2.2550456646747097e-05,0.0,2.2550456646747097e-05
n4i6gv,2.2550456646747097e-05,0.0,0.0
gwvpe7g,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gwvsypx,2.2550456646747097e-05,0.0,3.3825684970120644e-05
gwvuy20,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
gwvxns2,2.2550456646747097e-05,0.0,2.2550456646747097e-05
n4lat9,2.2550456646747097e-05,0.0,0.0
gww44aq,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gwwij1u,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gwxh1j1,2.2550456646747097e-05,0.0,3.006727552899613e-05
gwxim41,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gx11iq8,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gx1qv6i,2.2550456646747097e-05,0.0,2.2550456646747097e-05
n5gni0,2.2550456646747097e-05,0.0,0.0
gx213zi,2.2550456646747097e-05,0.0,2.2550456646747097e-05
n5m0dt,0.00018040365317397678,0.0,0.0
gx27qyq,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gx2w5fo,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gx40kra,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
gx42245,2.2550456646747097e-05,0.0,3.006727552899613e-05
